dataset,ablation_config,freeze_mode,classifier_hidden_sizes,dropout,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,total_params,trainable_params,gpu_memory_peak_mb,latency_ms_per_sample
ag_news,baseline,none,[],0.2,0.943157894736842,0.9435769909719032,0.9431578947368422,0.9432004131984214,0.9435769909719032,0.943157894736842,0.9432004131984216,66956548,66956548,4143.46630859375,0.1774473684210526
ag_news,freeze_lower_layers,lower_layers,[256],0.2,0.9365789473684212,0.93681347484409,0.936578947368421,0.9365855294567196,0.9368134748440898,0.9365789473684212,0.9365855294567196,66560772,21461508,2191.1767578125,0.1783157894736842
ag_news,frozen_transformer,all,[],0.2,0.8851315789473684,0.8848734157981268,0.8851315789473684,0.8848715086963727,0.8848734157981267,0.8851315789473684,0.8848715086963725,66956548,593668,615.99267578125,0.1756578947368421
ag_news,large_classifier,none,"[512, 256]",0.3,0.939342105263158,0.9395070674810492,0.939342105263158,0.9393804738298016,0.9395070674810492,0.939342105263158,0.9393804738298016,66888964,66888964,4141.61376953125,0.1918157894736842
ag_news,small_classifier,none,[128],0.2,0.9411842105263156,0.9414692110340132,0.9411842105263156,0.941134161193225,0.9414692110340132,0.9411842105263156,0.9411341611932252,66461828,66461828,4136.474609375,0.1880131578947368
sst2,baseline,none,[],0.2,0.9105504587155964,0.9106089959568732,0.910436137071651,0.9105033790185056,0.9105699711293552,0.9105504587155964,0.9105410427761782,66955010,66955010,4143.44873046875,0.1795871559633027
sst2,freeze_lower_layers,lower_layers,[256],0.2,0.8784403669724771,0.8820610036636278,0.8775574640060622,0.8779369506423259,0.8814575642151026,0.8784403669724771,0.878080783879512,66560258,21460994,2191.1708984375,0.1826834862385321
sst2,frozen_transformer,all,[],0.2,0.7993119266055045,0.8011119072260702,0.7985497179422413,0.7986762236092366,0.8007606914952281,0.7993119266055045,0.798883800097814,66955010,592130,615.7880859375,0.1826834862385321
sst2,large_classifier,none,"[512, 256]",0.3,0.9105504587155964,0.9105008417508418,0.9106045297634082,0.910533515731874,0.910600075680351,0.9105504587155964,0.910556106376837,66888450,66888450,4141.60791015625,0.1786697247706422
sst2,small_classifier,none,[128],0.2,0.9105504587155964,0.9105019467536568,0.910562431590469,0.9105273958547097,0.910566629369576,0.9105504587155964,0.9105537534100088,66461570,66461570,4136.4716796875,0.1769495412844036
yelp_review_full,baseline,none,[],0.2,0.65028,0.6508345395554022,0.6502800000000001,0.650193497499763,0.6508345395554023,0.65028,0.6501934974997631,66957317,66957317,4143.47509765625,0.176724
yelp_review_full,freeze_lower_layers,lower_layers,[256],0.2,0.63524,0.634276251800868,0.6352399999999999,0.634652623686627,0.6342762518008681,0.63524,0.634652623686627,66561029,21461765,2191.1796875,0.1870959999999999
yelp_review_full,frozen_transformer,all,[],0.2,0.51176,0.5074114220099429,0.51176,0.5089557972820767,0.5074114220099429,0.51176,0.5089557972820766,66957317,594437,617.3232421875,0.174808
yelp_review_full,large_classifier,none,"[512, 256]",0.3,0.64422,0.6451667014426598,0.64422,0.6445793350496751,0.6451667014426596,0.64422,0.644579335049675,66889221,66889221,4141.61669921875,0.17626
yelp_review_full,small_classifier,none,[128],0.2,0.64778,0.6486727871105621,0.64778,0.6479297344905789,0.6486727871105621,0.64778,0.6479297344905789,66461957,66461957,4136.47607421875,0.176154
